Before Load Model: MODE_20W_6CORE, CPU[user] 124.50%, CPU[system] 153.06%, MEM 988.62MB, POWER 4925.00mW, GPU 0.00%, IOREAD 6064.00bread/s, IOWRITE 0.00bwrtn/s
Loaded model in 3.83 sec, MODE_20W_6CORE, CPU[user] 78.90%, CPU[system] 113.34%, MEM 1102.88MB, POWER 4143.00mW, GPU 0.00%, IOREAD 82096.00bread/s, IOWRITE 0.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.32 sec, MODE_20W_6CORE, CPU[user] 133.80%, CPU[system] 100.86%, MEM 3914.27MB, POWER 5882.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 115.44%, CPU[system] 121.62%, MEM 3896.95MB, POWER 7728.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.33 sec, MODE_20W_6CORE, CPU[user] 58.86%, CPU[system] 85.26%, MEM 3843.05MB, POWER 6998.00mW, GPU 99.70%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.40 sec, MODE_20W_6CORE, CPU[user] 107.40%, CPU[system] 96.06%, MEM 3899.41MB, POWER 7583.00mW, GPU 93.20%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.31 sec, MODE_20W_6CORE, CPU[user] 199.68%, CPU[system] 130.02%, MEM 3921.67MB, POWER 6641.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.27 sec, MODE_20W_6CORE, CPU[user] 131.94%, CPU[system] 125.76%, MEM 3923.61MB, POWER 8033.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 58.56%, CPU[system] 93.96%, MEM 3926.12MB, POWER 7259.00mW, GPU 50.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.50 sec, MODE_20W_6CORE, CPU[user] 62.22%, CPU[system] 86.28%, MEM 3853.43MB, POWER 6141.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.45 sec, MODE_20W_6CORE, CPU[user] 149.76%, CPU[system] 136.32%, MEM 3901.97MB, POWER 7137.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.33 sec, MODE_20W_6CORE, CPU[user] 77.52%, CPU[system] 107.70%, MEM 3901.08MB, POWER 9784.00mW, GPU 92.70%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.32 sec, MODE_20W_6CORE, CPU[user] 62.94%, CPU[system] 73.08%, MEM 3902.21MB, POWER 8582.00mW, GPU 81.60%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 138.78%, CPU[system] 100.20%, MEM 3900.97MB, POWER 6186.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.30 sec, MODE_20W_6CORE, CPU[user] 122.22%, CPU[system] 112.08%, MEM 3902.76MB, POWER 7782.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.38 sec, MODE_20W_6CORE, CPU[user] 70.38%, CPU[system] 93.90%, MEM 3855.78MB, POWER 9578.00mW, GPU 10.90%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
