FPS 0.03, MODE_20W_6CORE, CPU 25.26%, MEM 2802.80MB, POWER 4296.00mW, GPU 2.00%
FPS 2.57, MODE_20W_6CORE, CPU 49.74%, MEM 2828.23MB, POWER 6480.00mW, GPU 99.60%
FPS 3.05, MODE_20W_6CORE, CPU 49.74%, MEM 2828.23MB, POWER 6480.00mW, GPU 99.60%
FPS 3.11, MODE_20W_6CORE, CPU 49.74%, MEM 2828.23MB, POWER 6480.00mW, GPU 99.60%
FPS 2.85, MODE_20W_6CORE, CPU 49.74%, MEM 2828.23MB, POWER 6480.00mW, GPU 99.60%
FPS 3.36, MODE_20W_6CORE, CPU 49.74%, MEM 2828.23MB, POWER 6480.00mW, GPU 99.60%
FPS 3.55, MODE_20W_6CORE, CPU 49.74%, MEM 2828.23MB, POWER 6480.00mW, GPU 99.60%
FPS 2.58, MODE_20W_6CORE, CPU 49.74%, MEM 2828.23MB, POWER 6480.00mW, GPU 99.60%
FPS 3.08, MODE_20W_6CORE, CPU 135.84%, MEM 2925.72MB, POWER 11245.00mW, GPU 99.10%
FPS 2.73, MODE_20W_6CORE, CPU 135.84%, MEM 2925.72MB, POWER 11245.00mW, GPU 99.10%
FPS 1.90, MODE_20W_6CORE, CPU 135.84%, MEM 2925.72MB, POWER 11245.00mW, GPU 99.10%
FPS 3.03, MODE_20W_6CORE, CPU 135.84%, MEM 2925.72MB, POWER 11245.00mW, GPU 99.10%
FPS 2.29, MODE_20W_6CORE, CPU 135.84%, MEM 2925.72MB, POWER 11245.00mW, GPU 99.10%
FPS 2.89, MODE_20W_6CORE, CPU 123.72%, MEM 2873.41MB, POWER 11637.00mW, GPU 13.40%
FPS 2.70, MODE_20W_6CORE, CPU 123.72%, MEM 2873.41MB, POWER 11637.00mW, GPU 13.40%
FPS 1.96, MODE_20W_6CORE, CPU 123.72%, MEM 2873.41MB, POWER 11637.00mW, GPU 13.40%
FPS 2.89, MODE_20W_6CORE, CPU 123.72%, MEM 2873.41MB, POWER 11637.00mW, GPU 13.40%
FPS 2.37, MODE_20W_6CORE, CPU 123.72%, MEM 2873.41MB, POWER 11637.00mW, GPU 13.40%
FPS 2.91, MODE_20W_6CORE, CPU 114.06%, MEM 2873.48MB, POWER 11551.00mW, GPU 74.60%
FPS 2.92, MODE_20W_6CORE, CPU 114.06%, MEM 2873.48MB, POWER 11551.00mW, GPU 74.60%
FPS 2.14, MODE_20W_6CORE, CPU 114.06%, MEM 2873.48MB, POWER 11551.00mW, GPU 74.60%
FPS 2.96, MODE_20W_6CORE, CPU 114.06%, MEM 2873.48MB, POWER 11551.00mW, GPU 74.60%
FPS 2.91, MODE_20W_6CORE, CPU 114.06%, MEM 2873.48MB, POWER 11551.00mW, GPU 74.60%
FPS 2.10, MODE_20W_6CORE, CPU 99.30%, MEM 2900.53MB, POWER 11253.00mW, GPU 99.70%
FPS 3.00, MODE_20W_6CORE, CPU 99.30%, MEM 2900.53MB, POWER 11253.00mW, GPU 99.70%
FPS 2.55, MODE_20W_6CORE, CPU 99.30%, MEM 2900.53MB, POWER 11253.00mW, GPU 99.70%
FPS 2.93, MODE_20W_6CORE, CPU 99.30%, MEM 2900.53MB, POWER 11253.00mW, GPU 99.70%
FPS 3.05, MODE_20W_6CORE, CPU 99.30%, MEM 2900.53MB, POWER 11253.00mW, GPU 99.70%
FPS 2.18, MODE_20W_6CORE, CPU 124.50%, MEM 2873.76MB, POWER 11312.00mW, GPU 8.40%
FPS 2.83, MODE_20W_6CORE, CPU 124.50%, MEM 2873.76MB, POWER 11312.00mW, GPU 8.40%
FPS 2.22, MODE_20W_6CORE, CPU 124.50%, MEM 2873.76MB, POWER 11312.00mW, GPU 8.40%
FPS 2.97, MODE_20W_6CORE, CPU 124.50%, MEM 2873.76MB, POWER 11312.00mW, GPU 8.40%
FPS 2.97, MODE_20W_6CORE, CPU 124.50%, MEM 2873.76MB, POWER 11312.00mW, GPU 8.40%
FPS 2.52, MODE_20W_6CORE, CPU 124.50%, MEM 2873.76MB, POWER 11312.00mW, GPU 8.40%
FPS 3.17, MODE_20W_6CORE, CPU 125.70%, MEM 2874.04MB, POWER 11378.00mW, GPU 99.60%
FPS 2.74, MODE_20W_6CORE, CPU 125.70%, MEM 2874.04MB, POWER 11378.00mW, GPU 99.60%
FPS 2.16, MODE_20W_6CORE, CPU 125.70%, MEM 2874.04MB, POWER 11378.00mW, GPU 99.60%
FPS 3.00, MODE_20W_6CORE, CPU 125.70%, MEM 2874.04MB, POWER 11378.00mW, GPU 99.60%
FPS 2.45, MODE_20W_6CORE, CPU 125.70%, MEM 2874.04MB, POWER 11378.00mW, GPU 99.60%
FPS 2.59, MODE_20W_6CORE, CPU 102.90%, MEM 2881.39MB, POWER 11138.00mW, GPU 95.50%
FPS 3.06, MODE_20W_6CORE, CPU 102.90%, MEM 2881.39MB, POWER 11138.00mW, GPU 95.50%
FPS 2.61, MODE_20W_6CORE, CPU 102.90%, MEM 2881.39MB, POWER 11138.00mW, GPU 95.50%
FPS 2.97, MODE_20W_6CORE, CPU 102.90%, MEM 2881.39MB, POWER 11138.00mW, GPU 95.50%
FPS 2.97, MODE_20W_6CORE, CPU 102.90%, MEM 2881.39MB, POWER 11138.00mW, GPU 95.50%
FPS 2.28, MODE_20W_6CORE, CPU 121.44%, MEM 2874.07MB, POWER 11385.00mW, GPU 0.00%
